run_number,run_name,loc_string,max_warming,N_simulations,N_summers,import_precip,dt
0,SGP-full,SGP,5,10,250,False,10
1,WIT-full,WIT,5,10,250,False,10
2,DAL-full,DAL,5,10,250,False,10
3,NY-full,NY,5,10,250,False,10
4,SEA-full,SEA,5,10,250,False,10
5,ATL-full,ATL,5,10,250,False,10
6,test-case,SGP,5,2,1,False,1
7,test-case2,DAL,5,2,1,False,10
8,SGP-test,SGP,5,5,25,False,1
9,WIT-test,WIT,5,5,25,False,1
10,DAL-test,DAL,5,5,25,False,1
11,NY-test,NY,5,5,25,False,1
12,SEA-test,SEA,5,5,25,False,1
13,ATL-test,ATL,5,5,25,False,1
